"artifactName","artifactPackages","artifactTypes","artifactExternalPackages","artifactExternalCallingPackages","artifactExternalCallingPackagesRate","externalPackageName","numberOfPackages","numberOfTypes","packagesCallingExternalRate","typesCallingExternalRate","nameOfPackages","someTypeNames","Source Cypher File: External_Dependencies/External_package_usage_per_artifact_and_external_package.cypher"
"axon-spring-boot-autoconfigure-4.10.1",9,75,47,9,100,"org.springframework.boot.autoconfigure",3,24,33.33333333333333,32,"org.axonframework.springboot.util,org.axonframework.springboot.autoconfig,org.axonframework.springboot.autoconfig.legacyjpa","org.axonframework.springboot.util.XStreamSecurityTypeUtility,org.axonframework.springboot.util.DefaultEntityRegistrar,org.axonframework.springboot.autoconfig.AxonServerBusAutoConfiguration,org.axonframework.springboot.autoconfig.MicrometerMetricsAutoConfiguration,org.axonframework.springboot.autoconfig.NoOpTransactionAutoConfiguration,org.axonframework.springboot.autoconfig.EventProcessingAutoConfiguration,org.axonframework.springboot.autoconfig.JpaAutoConfiguration,org.axonframework.springboot.autoconfig.OpenTelemetryAutoConfiguration,org.axonframework.springboot.autoconfig.JpaEventStoreAutoConfiguration",""
"axon-spring-boot-autoconfigure-4.10.1",9,75,47,9,100,"org.springframework.boot.autoconfigure.condition",3,32,33.33333333333333,42.666666666666664,"org.axonframework.springboot.util,org.axonframework.springboot.autoconfig,org.axonframework.springboot.autoconfig.legacyjpa","org.axonframework.springboot.util.OnQualifiedBeanCondition,org.axonframework.springboot.util.AbstractQualifiedBeanCondition,org.axonframework.springboot.util.OnMissingQualifiedBeanCondition,org.axonframework.springboot.autoconfig.AxonServerBusAutoConfiguration,org.axonframework.springboot.autoconfig.MicrometerMetricsAutoConfiguration,org.axonframework.springboot.autoconfig.NoOpTransactionAutoConfiguration,org.axonframework.springboot.autoconfig.XStreamAutoConfiguration$XStreamConfiguredCondition,org.axonframework.springboot.autoconfig.XStreamAutoConfiguration$XStreamConfiguredCondition$EventsXStreamCondition,org.axonframework.springboot.autoconfig.EventProcessingAutoConfiguration",""
"axon-spring-boot-autoconfigure-4.10.1",9,75,47,9,100,"org.springframework.boot.context.properties",3,18,33.33333333333333,24,"org.axonframework.springboot,org.axonframework.springboot.autoconfig,org.axonframework.springboot.autoconfig.legacyjpa","org.axonframework.springboot.TracingProperties,org.axonframework.springboot.DistributedCommandBusProperties,org.axonframework.springboot.MetricsProperties,org.axonframework.springboot.TagsConfigurationProperties,org.axonframework.springboot.SerializerProperties,org.axonframework.springboot.TokenStoreProperties,org.axonframework.springboot.EventProcessorProperties,org.axonframework.springboot.autoconfig.MicrometerMetricsAutoConfiguration,org.axonframework.springboot.autoconfig.JpaAutoConfiguration",""
"axon-spring-boot-autoconfigure-4.10.1",9,75,47,9,100,"org.springframework.context.annotation",3,30,33.33333333333333,40,"org.axonframework.springboot.util,org.axonframework.springboot.autoconfig,org.axonframework.springboot.autoconfig.legacyjpa","org.axonframework.springboot.util.ConditionalOnQualifiedBean,org.axonframework.springboot.util.ConditionalOnMissingQualifiedBean,org.axonframework.springboot.util.RegisterDefaultEntities,org.axonframework.springboot.util.AbstractQualifiedBeanCondition,org.axonframework.springboot.util.DefaultEntityRegistrar,org.axonframework.springboot.autoconfig.AxonServerBusAutoConfiguration,org.axonframework.springboot.autoconfig.MicrometerMetricsAutoConfiguration,org.axonframework.springboot.autoconfig.NoOpTransactionAutoConfiguration,org.axonframework.springboot.autoconfig.XStreamAutoConfiguration$XStreamConfiguredCondition",""
"axon-spring-boot-autoconfigure-4.10.1",9,75,47,9,100,"jakarta.persistence",2,3,22.22222222222222,4,"org.axonframework.springboot.util.jpa,org.axonframework.springboot.autoconfig","org.axonframework.springboot.util.jpa.ContainerManagedEntityManagerProvider,org.axonframework.springboot.autoconfig.JpaAutoConfiguration,org.axonframework.springboot.autoconfig.JpaEventStoreAutoConfiguration",""
"axon-spring-boot-autoconfigure-4.10.1",9,75,47,9,100,"javax.persistence",2,3,22.22222222222222,4,"org.axonframework.springboot.util.legacyjpa,org.axonframework.springboot.autoconfig.legacyjpa","org.axonframework.springboot.util.legacyjpa.ContainerManagedEntityManagerProvider,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxEventStoreAutoConfiguration",""
"axon-spring-boot-autoconfigure-4.10.1",9,75,47,9,100,"org.springframework.beans.factory.annotation",2,10,22.22222222222222,13.333333333333332,"org.axonframework.springboot.autoconfig,org.axonframework.springboot.autoconfig.legacyjpa","org.axonframework.springboot.autoconfig.AxonServerBusAutoConfiguration,org.axonframework.springboot.autoconfig.JpaAutoConfiguration,org.axonframework.springboot.autoconfig.JpaEventStoreAutoConfiguration,org.axonframework.springboot.autoconfig.AxonServerAutoConfiguration,org.axonframework.springboot.autoconfig.AxonJobRunrAutoConfiguration,org.axonframework.springboot.autoconfig.JdbcAutoConfiguration,org.axonframework.springboot.autoconfig.AxonDbSchedulerAutoConfiguration,org.axonframework.springboot.autoconfig.AxonAutoConfiguration,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration",""
"axon-spring-boot-autoconfigure-4.10.1",9,75,47,9,100,"org.springframework.beans.factory.config",2,3,22.22222222222222,4,"org.axonframework.springboot.util,org.axonframework.springboot.autoconfig","org.axonframework.springboot.util.AbstractQualifiedBeanCondition,org.axonframework.springboot.autoconfig.InfraConfiguration,org.axonframework.springboot.autoconfig.PersistentStreamMessageSourceRegistrar",""
"axon-spring-boot-autoconfigure-4.10.1",9,75,47,9,100,"org.springframework.beans.factory.support",2,2,22.22222222222222,2.6666666666666665,"org.axonframework.springboot.util,org.axonframework.springboot.autoconfig","org.axonframework.springboot.util.DefaultEntityRegistrar,org.axonframework.springboot.autoconfig.PersistentStreamMessageSourceRegistrar",""
"axon-spring-boot-autoconfigure-4.10.1",9,75,47,9,100,"org.springframework.boot.autoconfigure.orm.jpa",2,3,22.22222222222222,4,"org.axonframework.springboot.autoconfig,org.axonframework.springboot.autoconfig.legacyjpa","org.axonframework.springboot.autoconfig.JpaAutoConfiguration,org.axonframework.springboot.autoconfig.JpaEventStoreAutoConfiguration,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration",""
"axon-spring-boot-autoconfigure-4.10.1",9,75,47,9,100,"org.springframework.context",2,5,22.22222222222222,6.666666666666666,"org.axonframework.springboot.util,org.axonframework.springboot.autoconfig","org.axonframework.springboot.util.XStreamSecurityTypeUtility,org.axonframework.springboot.autoconfig.AxonServerAutoConfiguration,org.axonframework.springboot.autoconfig.XStreamAutoConfiguration,org.axonframework.springboot.autoconfig.AxonDbSchedulerAutoConfiguration,org.axonframework.springboot.autoconfig.AxonAutoConfiguration",""
"axon-spring-boot-autoconfigure-4.10.1",9,75,47,9,100,"org.springframework.core.annotation",2,4,22.22222222222222,5.333333333333333,"org.axonframework.springboot.util,org.axonframework.springboot.autoconfig","org.axonframework.springboot.util.OnQualifiedBeanCondition,org.axonframework.springboot.util.OnMissingQualifiedBeanCondition,org.axonframework.springboot.util.DefaultEntityRegistrar,org.axonframework.springboot.autoconfig.InfraConfiguration",""
"axon-spring-boot-autoconfigure-4.10.1",9,75,47,9,100,"com.codahale.metrics",1,1,11.11111111111111,1.3333333333333333,"org.axonframework.springboot.autoconfig","org.axonframework.springboot.autoconfig.MetricsAutoConfiguration",""
