"sourceProject","sourceScan","sourceRootProject","isDifferentTargetProject","isDifferentTargetScan","isDifferentTargetRootProject","distance","distanceTotalPairCount","distanceTotalSourceCount","distanceTotalTargetCount","pairCount","sourceNodeCount","targetNodeCount","examples","exampleProjects","exampleScans","Source Cypher File: Path_Finding/Path_Finding_5_All_pairs_shortest_path_distribution_per_project.cypher"
"axon-server-connector-4.10.3",,,true,,,3,1127,95,60,295,11,47,"/org/axonframework/axonserver/connector/util -> /org/axonframework/eventsourcing,/org/axonframework/axonserver/connector/heartbeat/source -> /org/axonframework/eventsourcing,/org/axonframework/axonserver/connector/heartbeat/connection/checker -> /org/axonframework/eventsourcing,/org/axonframework/axonserver/connector/query -> /org/axonframework/eventsourcing","axon-server-connector-4.10.3 -> axon-eventsourcing-4.10.3,axon-server-connector-4.10.3 -> axon-modelling-4.10.3,axon-server-connector-4.10.3 -> axon-disruptor-4.10.3,axon-server-connector-4.10.3 -> axon-messaging-4.10.3","",""
"axon-server-connector-4.10.3",,,true,,,4,201,60,21,21,7,3,"/org/axonframework/axonserver/connector/util -> /org/axonframework/eventsourcing/conflictresolution,/org/axonframework/axonserver/connector/heartbeat/source -> /org/axonframework/eventsourcing/conflictresolution,/org/axonframework/axonserver/connector/heartbeat/connection/checker -> /org/axonframework/eventsourcing/conflictresolution,/org/axonframework/axonserver/connector/query -> /org/axonframework/eventsourcing/conflictresolution","axon-server-connector-4.10.3 -> axon-eventsourcing-4.10.3,axon-server-connector-4.10.3 -> axon-modelling-4.10.3,axon-server-connector-4.10.3 -> axon-messaging-4.10.3","",""
"axon-spring-boot-autoconfigure-4.10.3",,,false,,,1,746,108,101,11,4,8,"/org/axonframework/actuator/axonserver -> /org/axonframework/actuator,/org/axonframework/springboot/autoconfig -> /org/axonframework/actuator/axonserver,/org/axonframework/springboot/util -> /org/axonframework/springboot,/org/axonframework/springboot/autoconfig -> /org/axonframework/springboot","axon-spring-boot-autoconfigure-4.10.3 -> axon-spring-boot-autoconfigure-4.10.3","",""
"axon-spring-boot-autoconfigure-4.10.3",,,false,,,2,1567,99,86,4,2,4,"/org/axonframework/springboot/autoconfig -> /org/axonframework/actuator,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/actuator/axonserver,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/springboot/util/jpa,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/springboot/service/connection","axon-spring-boot-autoconfigure-4.10.3 -> axon-spring-boot-autoconfigure-4.10.3","",""
"axon-spring-boot-autoconfigure-4.10.3",,,false,,,3,1127,95,60,1,1,1,"/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/actuator","axon-spring-boot-autoconfigure-4.10.3 -> axon-spring-boot-autoconfigure-4.10.3","",""
"axon-spring-boot-autoconfigure-4.10.3",,,true,,,1,746,108,101,74,8,57,"/org/axonframework/springboot -> /org/axonframework/config,/org/axonframework/springboot/util -> /org/axonframework/config,/org/axonframework/springboot/autoconfig -> /org/axonframework/config,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/config","axon-spring-boot-autoconfigure-4.10.3 -> axon-configuration-4.10.3,axon-spring-boot-autoconfigure-4.10.3 -> axon-eventsourcing-4.10.3,axon-spring-boot-autoconfigure-4.10.3 -> axon-server-connector-4.10.3,axon-spring-boot-autoconfigure-4.10.3 -> axon-modelling-4.10.3","",""
"axon-spring-boot-autoconfigure-4.10.3",,,true,,,2,1567,99,86,220,8,82,"/org/axonframework/actuator/axonserver -> /org/axonframework/config,/org/axonframework/springboot/service/connection -> /org/axonframework/config,/org/axonframework/springboot -> /org/axonframework/eventsourcing,/org/axonframework/springboot/util -> /org/axonframework/eventsourcing","axon-spring-boot-autoconfigure-4.10.3 -> axon-configuration-4.10.3,axon-spring-boot-autoconfigure-4.10.3 -> axon-eventsourcing-4.10.3,axon-spring-boot-autoconfigure-4.10.3 -> axon-server-connector-4.10.3,axon-spring-boot-autoconfigure-4.10.3 -> axon-modelling-4.10.3","",""
"axon-spring-boot-autoconfigure-4.10.3",,,true,,,3,1127,95,60,124,5,53,"/org/axonframework/actuator/axonserver -> /org/axonframework/eventsourcing,/org/axonframework/springboot/service/connection -> /org/axonframework/eventsourcing,/org/axonframework/springboot -> /org/axonframework/eventsourcing/conflictresolution,/org/axonframework/springboot/util -> /org/axonframework/eventsourcing/conflictresolution","axon-spring-boot-autoconfigure-4.10.3 -> axon-eventsourcing-4.10.3,axon-spring-boot-autoconfigure-4.10.3 -> axon-server-connector-4.10.3,axon-spring-boot-autoconfigure-4.10.3 -> axon-modelling-4.10.3,axon-spring-boot-autoconfigure-4.10.3 -> axon-test-4.10.3","",""
"axon-spring-boot-autoconfigure-4.10.3",,,true,,,4,201,60,21,6,2,3,"/org/axonframework/actuator/axonserver -> /org/axonframework/eventsourcing/conflictresolution,/org/axonframework/springboot/service/connection -> /org/axonframework/eventsourcing/conflictresolution,/org/axonframework/actuator/axonserver -> /org/axonframework/modelling/saga/metamodel,/org/axonframework/springboot/service/connection -> /org/axonframework/modelling/saga/metamodel","axon-spring-boot-autoconfigure-4.10.3 -> axon-eventsourcing-4.10.3,axon-spring-boot-autoconfigure-4.10.3 -> axon-modelling-4.10.3,axon-spring-boot-autoconfigure-4.10.3 -> axon-messaging-4.10.3","",""
"axon-test-4.10.3",,,false,,,1,746,108,101,12,5,5,"/org/axonframework/test/aggregate -> /org/axonframework/test,/org/axonframework/test/matchers -> /org/axonframework/test,/org/axonframework/test/saga -> /org/axonframework/test,/org/axonframework/test/deadline -> /org/axonframework/test","axon-test-4.10.3 -> axon-test-4.10.3","",""
"axon-test-4.10.3",,,true,,,1,746,108,101,42,8,17,"/org/axonframework/test/aggregate -> /org/axonframework/eventsourcing,/org/axonframework/test/aggregate -> /org/axonframework/eventsourcing/eventstore,/org/axonframework/test/aggregate -> /org/axonframework/modelling/command,/org/axonframework/test/aggregate -> /org/axonframework/modelling/command/inspection","axon-test-4.10.3 -> axon-eventsourcing-4.10.3,axon-test-4.10.3 -> axon-modelling-4.10.3,axon-test-4.10.3 -> axon-messaging-4.10.3","",""
"axon-test-4.10.3",,,true,,,2,1567,99,86,98,7,31,"/org/axonframework/test/aggregate -> /org/axonframework/eventsourcing/conflictresolution,/org/axonframework/test/aggregate -> /org/axonframework/eventsourcing/snapshotting,/org/axonframework/test/saga -> /org/axonframework/modelling/saga/metamodel,/org/axonframework/test/utils -> /org/axonframework/modelling/saga/metamodel","axon-test-4.10.3 -> axon-eventsourcing-4.10.3,axon-test-4.10.3 -> axon-modelling-4.10.3,axon-test-4.10.3 -> axon-messaging-4.10.3","",""
"axon-test-4.10.3",,,true,,,3,1127,95,60,59,7,19,"/org/axonframework/test -> /org/axonframework/commandhandling,/org/axonframework/test/eventscheduler -> /org/axonframework/commandhandling,/org/axonframework/test/deadline -> /org/axonframework/commandhandling/callbacks,/org/axonframework/test/matchers -> /org/axonframework/common/annotation","axon-test-4.10.3 -> axon-messaging-4.10.3","",""
"axon-test-4.10.3",,,true,,,4,201,60,21,20,7,5,"/org/axonframework/test -> /org/axonframework/commandhandling/callbacks,/org/axonframework/test/eventscheduler -> /org/axonframework/commandhandling/callbacks,/org/axonframework/test -> /org/axonframework/common/property,/org/axonframework/test/deadline -> /org/axonframework/common/property","axon-test-4.10.3 -> axon-messaging-4.10.3","",""
"axon-tracing-opentelemetry-4.10.3",,,true,,,1,746,108,101,3,1,3,"/org/axonframework/tracing/opentelemetry -> /org/axonframework/common,/org/axonframework/tracing/opentelemetry -> /org/axonframework/messaging,/org/axonframework/tracing/opentelemetry -> /org/axonframework/tracing","axon-tracing-opentelemetry-4.10.3 -> axon-messaging-4.10.3","",""
"axon-tracing-opentelemetry-4.10.3",,,true,,,2,1567,99,86,8,1,8,"/org/axonframework/tracing/opentelemetry -> /org/axonframework/commandhandling,/org/axonframework/tracing/opentelemetry -> /org/axonframework/common/stream,/org/axonframework/tracing/opentelemetry -> /org/axonframework/deadline,/org/axonframework/tracing/opentelemetry -> /org/axonframework/eventhandling","axon-tracing-opentelemetry-4.10.3 -> axon-messaging-4.10.3","",""
"axon-tracing-opentelemetry-4.10.3",,,true,,,3,1127,95,60,15,1,15,"/org/axonframework/tracing/opentelemetry -> /org/axonframework/commandhandling/callbacks,/org/axonframework/tracing/opentelemetry -> /org/axonframework/common/annotation,/org/axonframework/tracing/opentelemetry -> /org/axonframework/common/io,/org/axonframework/tracing/opentelemetry -> /org/axonframework/common/transaction","axon-tracing-opentelemetry-4.10.3 -> axon-messaging-4.10.3","",""
"axon-tracing-opentelemetry-4.10.3",,,true,,,4,201,60,21,2,1,2,"/org/axonframework/tracing/opentelemetry -> /org/axonframework/common/property,/org/axonframework/tracing/opentelemetry -> /org/axonframework/serialization/upcasting","axon-tracing-opentelemetry-4.10.3 -> axon-messaging-4.10.3","",""
