"artifactName","packageName","typeName","sumEffectiveLinesOfMethodCode","maxEffectiveLinesOfMethodCode","methodWithMaxEffectiveLinesOfMethodCode","maxCyclomaticComplexity","methodWithMaxCyclomaticComplexity","Source Cypher File: Effective_lines_of_method_code_per_type.cypher"
"axon-messaging-4.7.5","org.axonframework.eventhandling.tokenstore.jdbc","JdbcTokenStore$Builder",37,5,"<init>",3,"lambda$assertNodeId$0",""
"axon-messaging-4.7.5","org.axonframework.queryhandling","SimpleQueryBus$Builder",37,11,"<init>",1,"validate",""
"axon-configuration-4.7.5","org.axonframework.config","LifecycleHandlerInspector",36,9,"invokeAndReturn",3,"registerLifecycleHandlers",""
"axon-messaging-4.7.5","org.axonframework.deadline.quartz","QuartzDeadlineManager$Builder",36,5,"validate",2,"validate",""
"axon-messaging-4.7.5","org.axonframework.serialization","AbstractXStreamSerializer$Builder",36,8,"validate",4,"validate",""
"axon-messaging-4.7.5","org.axonframework.tracing","MultiSpanFactory",36,5,"propagateContext",2,"propagateContext",""
"axon-modelling-4.7.5","org.axonframework.modelling.saga","AnnotatedSagaManager$Builder",35,6,"inspectSagaModel",5,"inspectSagaModel",""
"axon-messaging-4.7.5","org.axonframework.serialization.json","JacksonSerializer$Builder",35,9,"build",4,"build",""
"axon-messaging-4.7.5","org.axonframework.serialization.upcasting.event","InitialEventRepresentation",35,21,"<init>",3,"<init>",""
"axon-messaging-4.7.5","org.axonframework.tracing","LoggingSpanFactory",35,5,"lambda$getSpanMessage$3",1,"access$100",""
"axon-test-4.7.5","org.axonframework.test.aggregate","AggregateTestFixture$IdentifierValidatingRepository",35,4,"load",4,"validateIdentifier",""
"axon-test-4.7.5","org.axonframework.test.matchers","ListMatcher",35,18,"describeTo",7,"describeTo",""
"axon-test-4.7.5","org.axonframework.test.matchers","EqualFieldsMatcher",35,17,"fieldsMatch",7,"fieldsMatch",""
"axon-eventsourcing-4.7.5","org.axonframework.eventsourcing.eventstore.jdbc","EventSchema",34,16,"<init>",1,"<init>",""
"axon-modelling-4.7.5","org.axonframework.modelling.saga","AssociationValuesImpl",34,6,"<init>",3,"remove",""
