"artifactName","fullPackageName","linesInPackage","complexityInPackage","methodCount","maxLinesMethod","maxLinesMethodType","maxLinesMethodName","maxComplexity","maxComplexityType","maxComplexityMethod","packageName","Source Cypher File: Overview/Effective_lines_of_method_code_per_package.cypher"
"axon-modelling-4.10.0","org.axonframework.modelling.saga.repository.legacyjpa",145,46,29,20,"JpaSagaStore","updateSaga",6,"JpaSagaStore","updateSaga","legacyjpa",""
"axon-tracing-opentelemetry-4.10.0","org.axonframework.tracing.opentelemetry",145,61,46,12,"OpenTelemetrySpan","end",4,"OpenTelemetrySpan","end","opentelemetry",""
"axon-messaging-4.10.0","org.axonframework.common.lock",130,79,56,18,"PessimisticLockFactory$DisposableLock","lock",10,"PessimisticLockFactory$DisposableLock","lock","lock",""
"axon-messaging-4.10.0","org.axonframework.serialization.json",127,81,51,12,"JacksonSerializer","deserialize",9,"JacksonSerializer","deserialize","json",""
"axon-messaging-4.10.0","org.axonframework.eventhandling.scheduling.jobrunr",125,90,41,15,"JobRunrEventScheduler","schedule",40,"JobRunrEventScheduler","$deserializeLambda$","jobrunr",""
"axon-messaging-4.10.0","org.axonframework.commandhandling.distributed.commandfilter",121,102,59,7,"AndCommandMessageFilter","equals",13,"CommandNameFilter","$deserializeLambda$","commandfilter",""
"axon-eventsourcing-4.10.0","org.axonframework.eventsourcing.eventstore.jdbc.statements",109,18,15,18,"JdbcEventStorageEngineStatements","appendEvents",2,"JdbcEventStorageEngineStatements","appendEvents","statements",""
"axon-messaging-4.10.0","org.axonframework.serialization.upcasting.event",104,59,54,21,"InitialEventRepresentation","<init>",3,"EventTypeUpcaster","canUpcast","event",""
"axon-server-connector-4.10.0","org.axonframework.axonserver.connector.event.util",103,42,19,24,"EventCipher","<init>",7,"EventCipher","<init>","util",""
"axon-messaging-4.10.0","org.axonframework.eventhandling.tokenstore",100,64,44,7,"AbstractTokenEntry","<init>",4,"AbstractTokenEntry","mayClaim","tokenstore",""
"axon-modelling-4.10.0","org.axonframework.modelling.command.legacyjpa",100,54,47,13,"GenericJpaRepository","doLoadWithLock",4,"GenericJpaRepository","doLoadWithLock","legacyjpa",""
"axon-test-4.10.0","org.axonframework.test.eventscheduler",99,57,26,10,"EventSchedulerValidator","assertScheduledEventMatching",6,"StubScheduleToken","equals","eventscheduler",""
